Conversation Number,Conversation
8871,I firmly believe that if we invested in funds we could earn a lot of money . -- All wet.You are such a fool . --
8872,"Look ! It fits you perfectly . It looks great on you and has your name on it . -- Really ? What about your opinion , Daniel ? --"
8873,"You have always got your nose in the air , which hurts many boys ’ hearts . -- I am afraid not . I have no interest in them at all . --"
8874,Look over there . That is what I am looking for . Let's go ! -- I want to see you play . Be quick ! -- Don ’ t chicken out ! Come on ! --
8875,I ’ m so surprised to meet you in this remote village . Long time no see . -- Yeah . How are you these days ? --
8876,"What ’ s up ? You look so blue . -- Unfortunately , I missed a chance to see a classic movie . --"
8877,How about this opera given by the famous musician ? -- Fair to middling . A little hard to appreciate . --
8878,"You have been so busy these months . What are you up to ? -- You know , next week , we ’ ll hold a football match . Our cheering squad is busy rehearsing the programmes for it --"
8879,"Yo , G.How are you getting along with your classmates in the English training school ? -- Not bad . Everything goes well . --"
8880,"How time flies ! We have been lovers for nearly a year . We hit it off instantly . -- Yes , but do you think there is eternal love in the world ? --"
8881,"Yo baby , are you satisfied with the costume show in the street ? -- It ’ s hard to say.Just so-so . --"
8882,"The bracelet is so well suited to you . It looks very nice . -- Yeah , I cherish it . Because I have been working like a dog for two months to buy it . --"
8883,"Honey , how is by you ? -- Just so so.There are no exciting things for me . --"
8884,"Did you listen to the weather forecast ? -- No.Why ? -- There ’ s a typhoon coming . -- No way ! -- Yep , it should be here by tomorrow night . --"
8885,"We are doing Secret Santa at the office again this year . -- Whose name did you pick ? -- I got Jacob . Any ideas what to get him ? -- Booze ! -- Yeah , you ’ re right . Can ’ t go wrong with that . --"
8886,Sorry . The car breaks down and it needs to be repaired . -- Knock on wood . But I have a very important date . --
8887,"Did you hear about Lulu ? -- No , what ? -- She and Vic broke up and now she ’ s asked for a transfer . -- Get out of here ! I didn ’ t even know they were dating ! -- No one really did . They were very discreet and professional at the office . --"
8888,Last trip was very terrible . I hope everything will be fine this time . Don ’ t blow it . -- Trust me . Everything will go well . --
8889,"Hey , let ’ s go to the night market after work tonight . -- That ’ s a good idea . I haven ’ t been in a while and I need to get a new backpack . The old one is hanging on by a thread ! -- That reminds me I should buy some new socks to go hiking this weekend . --"
8890,We ’ re going to the Dragon Boat Festival tomorrow . Feel like coming along ? -- Sure . I ’ Ve never seen a dragon boat race . -- Really ? I think you ’ ll love it . -- As long as I don ’ t have to row . --
8891,"Wow ! What ’ s the hold up ? -- It ’ s probably just people trying to get an early start out of the city for the weekend . Nobody sticks around in the summer . -- Really ? Then , I guess I won ’ t have a hard time finding a room or getting a cab ? -- Actually , you might because there ’ s a big convention in town this weekend . -- I ’ m not too worried about it . I always seem to find something . --"
8892,"What time is our connecting flight ? -- Let me check.Oh , oh ! It ’ s at 3:25 . -- Wow , that's cutting it close ! That means we only have 25 minutes to make the connection ! What gate is it at ? -- It ’ s at ... gate 14 . -- Oh , great ! That ’ s at the other end of the terminal ! -- OK , so here ’ s the plan ; When we land , run to gate 14 ! -- I ’ m be right behind ya ! --"
8893,What do you do ? -- I ’ m a firefighter . -- Really ? That ’ s so cool . -- I ’ m really lucky to do something I really love . -- What station do you work at ? -- I work downtown at station 24.It can get a little crazy sometimes but that ’ s what makes it challenging . --
8894,"Excuse me , do you have any English songs ? -- Yes , we do . They are all in this book . -- Great , thanks . -- No problem . Just give us a few minutes more to pull them up , though . We don ’ t get that many English singers ! -- Oh , I see . --"
8895,"What was the biggest turing point in your life ? -- I usee I would say that would be moving out of my parents ’ house for the first time . -- Really ? Why is that ? -- Till I moved out of my parents ’ home , I became a lot more independent . -- What would you say was the lowest point in your life ? -- That would definitely be getting a divorce . -- What went wrong ? -- We just weren't right for each other . -- How long were you married ? -- The marriage only lasted about a year . -- Have you remarried since then ? -- Yes , I got married to a man that I met shortly after I divorced my first husband . -- Do you think you'll ever get a divorce again ? -- Oh I hope not , my first marriage was a mistake , but this one isn ’ t . -- How long have you been married ? -- About 15 years now . -- Do you think you'll still love him when he is old and gray ? -- I think so , hopefully we ’ ll have a long and a happy life together . -- I ’ m sure you will . --"
